title,location,price,area
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,250 per month            ",155 m²
                        Apartment Weteringschans                            ,            1017 RW Amsterdam (De Weteringschans)        ,"                €2,200 per month            ",70 m²
                        Apartment Bolestein 792                            ,            1081 ER Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²
                        Apartment Stuyvesantstraat 49 H                            ,            1058 AK Amsterdam (Westindische Buurt)        ,"                €2,350 per month            ",73 m²
                        Apartment Zeeburgerkade 1222                            ,            1019 VK Amsterdam (Oostelijk Havengebied)        ,"                €3,000 per month            ",122 m²
                        Apartment Warmoesstraat 48 B                            ,            1012 JE Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,250 per month            ",47 m²
                        Apartment Ruyschstraat 99 3                            ,            1091 BZ Amsterdam (Oosterparkbuurt)        ,"                €2,600 per month            ",80 m²
                        Apartment Rijnstraat                            ,            1078 PV Amsterdam (IJselbuurt)        ,"                €2,350 per month            ",78 m²
                        Apartment Reyer Anslostraat 17 H                            ,            1054 KT Amsterdam (Overtoomse Sluis)        ,"                €3,000 per month            ",117 m²
                        Apartment Vrolikstraat                            ,            1092 TW Amsterdam (Oosterparkbuurt)        ,"                €1,950 per month            ",57 m²
                        Apartment Vondelstraat                            ,            1054 GE Amsterdam (Vondelbuurt)        ,"                €2,850 per month            ",125 m²
                        Apartment Utrechtsestraat 40 1                            ,            1017 VP Amsterdam (Grachtengordel-Zuid)        ,"                €2,450 per month            ",120 m²
                        House Holbeinstraat                            ,            1077 VC Amsterdam (Apollobuurt)        ,"                €6,000 per month            ",201 m²
                        Apartment Sarphatipark                            ,            1072 PB Amsterdam (Oude Pijp)        ,"                €2,975 per month            ",83 m²
                        Apartment Wijsmullerstraat                            ,            1058 JG Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",55 m²
                        Apartment Herengracht                            ,            1015 BD Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",100 m²
                        Apartment Huidekoperstraat                            ,            1017 ZM Amsterdam (De Weteringschans)        ,"                €2,100 per month            ",65 m²
                        Apartment Jacob van Lennepkade                            ,            1053 NN Amsterdam (Van Lennepbuurt)        ,"                €1,650 per month            ",41 m²
                        Apartment Theodoor van Hoytemastraat                            ,            1062 CG Amsterdam (Overtoomse Veld)        ,"                €1,950 per month            ",89 m²
                        Apartment Prinsengracht                            ,            1017 LC Amsterdam (De Weteringschans)        ,"                €2,250 per month            ",105 m²
                        Apartment Koggestraat                            ,            1012 TA Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,950 per month            ",92 m²
                        Apartment Admiralengracht 52 2                            ,            1057 GA Amsterdam (Chassébuurt)        ,"                €1,500 per month            ",60 m²
                        Apartment Woestduinstraat                            ,            1059 TA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",55 m²
                        Apartment Kinkerstraat                            ,            1053 GG Amsterdam (Van Lennepbuurt)        ,"                €2,250 per month            ",54 m²
                        Apartment Waterlooplein                            ,            1011 PG Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",45 m²
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",100 m²
                        Apartment Nieuwezijds Voorburgwal 18 B                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,000 per month            ",100 m²
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 RZ Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,250 per month            ",100 m²
                        Apartment Bentinckstraat                            ,            1051 GD Amsterdam (Staatsliedenbuurt)        ,"                €2,500 per month            ",87 m²
                        Apartment Nassaukade                            ,            1053 LK Amsterdam (Da Costabuurt)        ,"                €1,600 per month            ",40 m²
                        Apartment Gravenstraat                            ,            1012 NL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,900 per month            ",55 m²
                        Apartment Loenermark                            ,            1025 TP Amsterdam (Buikslotermeer)        ,"                €1,950 per month            ",75 m²
